Genus,Full_taxonomy,OSCC_mean,Tobacco_mean,Fold_change,p_value,adjusted_pvalue
Streptococcus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,8.375,28.2,-1.7503239770212253,0.5515512682153323,1.0
uncultured,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured,0.0,0.0,0.0,1.0,1.0
Fusobacterium,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,4.0,0.6,2.716721088892034,0.42106671878360735,1.0
Parvimonas,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas,4.875,0.0,8.932214751968385,0.16579019957505914,1.0
Porphyromonas,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,4.0,0.0,8.64745842645492,0.294952935439746,1.0
Amnipila,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Amnipila,0.0,0.4,-5.357552004618084,0.2683816272927607,1.0
Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,2.25,0.8,1.4803289595305626,0.35777194556635694,1.0
Thauera,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera,0.0,0.0,0.0,1.0,1.0
Actinobacillus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus,0.25,1.0,-1.9577717646107025,0.727009731456113,1.0
Veillonella,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella,3.5,1.2,1.5364639830299662,0.7664897036768229,1.0
Prevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,4.625,0.6,2.9256881910626444,0.24183035916657092,1.0
Gemella,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,2.625,1.2,1.12279591436262,0.9333731006721204,1.0
TM7x,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x,0.25,0.0,4.700439718141092,0.5270892568655381,1.0
Granulicatella,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,0.5,0.8,-0.6674246609131291,0.8153345943552277,1.0
Oribacterium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium,0.25,0.0,4.700439718141092,0.5270892568655381,1.0
uncultured,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured,0.0,0.0,0.0,1.0,1.0
